path,orignal_num,filter_num,removed_num,finished
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/r/d,142674,86722,23,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/r/9,3559,2120,0,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/r/k,212954,121560,16,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/r/a,3183243,2055046,296,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/r/r,98231,60077,18,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/r/f,74840,45057,5,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/r/e,2162282,1368601,231,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/r/q,7534,4678,2,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/r/8,4357,2520,0,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/r/o,1369426,853708,101,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/r/4,12703,8080,2,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/r/b,117017,71493,7,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/r/g,124764,72174,15,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/r/6,4106,2427,1,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/r/p,115464,68821,16,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/r/l,83592,49407,8,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/r/u,964000,592331,98,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/r/h,88776,52069,7,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/r/m,176114,107488,14,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/r/t,99078,59798,12,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/r/i,850827,535238,76,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/r/5,4023,2470,0,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/r/symbols,1216031,778173,91,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/r/w,61280,38352,15,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/r/1,20001,12318,1,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/r/n,67177,40526,4,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/r/0,15734,9685,5,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/r/2,11784,7140,1,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/r/j,118898,71198,17,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/r/c,109627,61223,5,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/r/x,9947,6094,0,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/r/s,226468,138601,18,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/r/v,56867,32444,5,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/r/7,16346,7299,1,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/e/3,9507,6018,0,True
